,name,url
76,Kim Yoon-Duck,https://thyroideyedisease.org/physician-directory-member-list/kim-yoon-duck/
77,"Kook, Koung Hoon",https://thyroideyedisease.org/physician-directory-member-list/khkook/
78,"Al-Salem, Khalil M.",https://thyroideyedisease.org/physician-directory-member-list/khalil/
79,Kelvin Chong,https://thyroideyedisease.org/physician-directory-member-list/kchong/
80,"Kenneth V Cahill, MD",https://thyroideyedisease.org/physician-directory-member-list/kcahill4iow/
81,Kaylene Le Hunte,https://thyroideyedisease.org/physician-directory-member-list/kaylenelehunte/
82,Karim G. Punja,https://thyroideyedisease.org/physician-directory-member-list/karimpunja/
83,"Feldman, Ken",https://thyroideyedisease.org/physician-directory-member-list/kafeldman/
84,Junior Pippin,https://thyroideyedisease.org/physician-directory-member-list/juniorpippinjd/
85,"Lee, Julie",https://thyroideyedisease.org/physician-directory-member-list/julie-lee/
86,jude2248,https://thyroideyedisease.org/physician-directory-member-list/jude2248/
87,"Sivak-Callcott, Jennifer",https://thyroideyedisease.org/physician-directory-member-list/jsivakcallcott/
88,"Siddens, John",https://thyroideyedisease.org/physician-directory-member-list/jsiddens/
89,"Nguyen, John",https://thyroideyedisease.org/physician-directory-member-list/johnnguyen/
90,Joan Marquardt,https://thyroideyedisease.org/physician-directory-member-list/joanmarquardt/
91,Nerad Jeffrey,https://thyroideyedisease.org/physician-directory-member-list/jnerad/
92,Mavrikakis Ioannis,https://thyroideyedisease.org/physician-directory-member-list/jmavrikakis/
93,Khong Jwu Jin,https://thyroideyedisease.org/physician-directory-member-list/jjkhong/
94,Uddin jimmy,https://thyroideyedisease.org/physician-directory-member-list/jimmyuddin/
95,Qian Jiang,https://thyroideyedisease.org/physician-directory-member-list/jiangqianshanghai/
96,Jesse,https://thyroideyedisease.org/physician-directory-member-list/jesse/
97,Jerald Greenlee,https://thyroideyedisease.org/physician-directory-member-list/jerald03eriusx/
98,Eelco Bergsma,https://thyroideyedisease.org/physician-directory-member-list/je-bergsma/
99,"Dutton, Jonathan",https://thyroideyedisease.org/physician-directory-member-list/jdutton/
100,"Badilla, Jaime",https://thyroideyedisease.org/physician-directory-member-list/jbadilla/
101,joseph badal,https://thyroideyedisease.org/physician-directory-member-list/jbadal21169/
102,"Genol, Ignacio",https://thyroideyedisease.org/physician-directory-member-list/igenol/
103,Helena Kordic,https://thyroideyedisease.org/physician-directory-member-list/hkordic/
104,Mr. Hie,https://thyroideyedisease.org/physician-directory-member-list/hie225/
105,Habibullah Eatamadi,https://thyroideyedisease.org/physician-directory-member-list/habib/
106,"Lelli, Gary",https://thyroideyedisease.org/physician-directory-member-list/glelli/
107,"Griepentrog, Gregory",https://thyroideyedisease.org/physician-directory-member-list/ggriepentrog/
108,"Gilliland, Grant",https://thyroideyedisease.org/physician-directory-member-list/ggilliland/
109,"Harris, Gerald J.",https://thyroideyedisease.org/physician-directory-member-list/gerald-j-harris/
110,"Rose, Geoffrey E.",https://thyroideyedisease.org/physician-directory-member-list/geoffrey-rose/
111,"Davis, Garry",https://thyroideyedisease.org/physician-directory-member-list/gdavis/
112,Genevieve Larkin,https://thyroideyedisease.org/physician-directory-member-list/gbrlarkin/
113,Frank Buffam,https://thyroideyedisease.org/physician-directory-member-list/frank-buffam/
114,Codere,https://thyroideyedisease.org/physician-directory-member-list/francois/
115,Fernando Procianoy,https://thyroideyedisease.org/physician-directory-member-list/fprocianoy/
116,"Pakdel, Farzad",https://thyroideyedisease.org/physician-directory-member-list/fpakdel/
117,Flora Levin,https://thyroideyedisease.org/physician-directory-member-list/flevin/
118,"Buffam, Frank V",https://thyroideyedisease.org/physician-directory-member-list/fbuffam/
119,Evan Kalin-Hajdu,https://thyroideyedisease.org/physician-directory-member-list/evan-kalin-hajdu/
120,Poh Eugenie,https://thyroideyedisease.org/physician-directory-member-list/eugenie-poh/
121,esraa mayah,https://thyroideyedisease.org/physician-directory-member-list/esraa/
122,Shriver Erin,https://thyroideyedisease.org/physician-directory-member-list/eshriver/
123,Edsel Ing,https://thyroideyedisease.org/physician-directory-member-list/eing/
124,David Yoo,https://thyroideyedisease.org/physician-directory-member-list/dyoo/
125,Diego Strianese,https://thyroideyedisease.org/physician-directory-member-list/dstrianese/
126,David Bardenstein,https://thyroideyedisease.org/physician-directory-member-list/dsbiteds/
127,Vinay Singh,https://thyroideyedisease.org/physician-directory-member-list/drvksingh/
128,IDOWU OLUWATOBI,https://thyroideyedisease.org/physician-directory-member-list/droluwatobinoble/
129,Garrido Hermosilla Antonio Manuel,https://thyroideyedisease.org/physician-directory-member-list/drgarridohermosilla/
130,M̩ndez Muros Mariola,https://thyroideyedisease.org/physician-directory-member-list/dramendezmuros/
131,dr. Peter Gooris,https://thyroideyedisease.org/physician-directory-member-list/dr-peter-gooris/
132,Dr. Alwadeai,https://thyroideyedisease.org/physician-directory-member-list/dr-alwadeai/
133,Doretha Zelaya,https://thyroideyedisease.org/physician-directory-member-list/doretnam/
134,Douglas Marx,https://thyroideyedisease.org/physician-directory-member-list/dmarx/
135,Don Kikkawa,https://thyroideyedisease.org/physician-directory-member-list/dkikkawa/
136,"Jordan, David",https://thyroideyedisease.org/physician-directory-member-list/djordan/
137,Dierdre Jeske,https://thyroideyedisease.org/physician-directory-member-list/djeske/
138,Diana Lee,https://thyroideyedisease.org/physician-directory-member-list/diana-lee/
139,"Devoto, Martin",https://thyroideyedisease.org/physician-directory-member-list/devotomh/
140,Rootman Dan,https://thyroideyedisease.org/physician-directory-member-list/dbrootman/
141,"Bellows, David",https://thyroideyedisease.org/physician-directory-member-list/dbellowscomcast-net/
142,"Dailey, Roger",https://thyroideyedisease.org/physician-directory-member-list/daileyr/
143,"Ezra, Daniel",https://thyroideyedisease.org/physician-directory-member-list/d-ezraucl-ac-uk/
144,"Wallace, Clarissa",https://thyroideyedisease.org/physician-directory-member-list/cwallace/
145,Cornelius Mauro,https://thyroideyedisease.org/physician-directory-member-list/corneliusxhswm/
