,Unnamed: 0,name,url,has_interesting_data
69,69,"Mawn, Louise",https://thyroideyedisease.org/physician-directory-member-list/lmawn/,False
70,70,"Seah, Lay Leng",https://thyroideyedisease.org/physician-directory-member-list/llseah/,False
71,71,Lloyd Fullarton,https://thyroideyedisease.org/physician-directory-member-list/lloydfullarton/,False
72,72,Lim Lee Hooi,https://thyroideyedisease.org/physician-directory-member-list/leehooi/,False
73,73,K. Youngheim,https://thyroideyedisease.org/physician-directory-member-list/kyoungheimcox-net/,False
74,74,Kristian Ackman,https://thyroideyedisease.org/physician-directory-member-list/kristianackman/,False
75,75,"Kratky, Vladimir",https://thyroideyedisease.org/physician-directory-member-list/kratkyv/,False
76,76,Kim Yoon-Duck,https://thyroideyedisease.org/physician-directory-member-list/kim-yoon-duck/,False
77,77,"Kook, Koung Hoon",https://thyroideyedisease.org/physician-directory-member-list/khkook/,False
78,78,"Al-Salem, Khalil M.",https://thyroideyedisease.org/physician-directory-member-list/khalil/,False
79,79,Kelvin Chong,https://thyroideyedisease.org/physician-directory-member-list/kchong/,False
80,80,"Kenneth V Cahill, MD",https://thyroideyedisease.org/physician-directory-member-list/kcahill4iow/,False
81,81,Kaylene Le Hunte,https://thyroideyedisease.org/physician-directory-member-list/kaylenelehunte/,False
82,82,Karim G. Punja,https://thyroideyedisease.org/physician-directory-member-list/karimpunja/,False
83,83,"Feldman, Ken",https://thyroideyedisease.org/physician-directory-member-list/kafeldman/,False
84,84,Junior Pippin,https://thyroideyedisease.org/physician-directory-member-list/juniorpippinjd/,False
85,85,"Lee, Julie",https://thyroideyedisease.org/physician-directory-member-list/julie-lee/,False
86,86,jude2248,https://thyroideyedisease.org/physician-directory-member-list/jude2248/,False
87,87,"Sivak-Callcott, Jennifer",https://thyroideyedisease.org/physician-directory-member-list/jsivakcallcott/,False
88,88,"Siddens, John",https://thyroideyedisease.org/physician-directory-member-list/jsiddens/,False
89,89,"Nguyen, John",https://thyroideyedisease.org/physician-directory-member-list/johnnguyen/,False
90,90,Joan Marquardt,https://thyroideyedisease.org/physician-directory-member-list/joanmarquardt/,False
91,91,Nerad Jeffrey,https://thyroideyedisease.org/physician-directory-member-list/jnerad/,False
92,92,Mavrikakis Ioannis,https://thyroideyedisease.org/physician-directory-member-list/jmavrikakis/,False
93,93,Khong Jwu Jin,https://thyroideyedisease.org/physician-directory-member-list/jjkhong/,False
94,94,Uddin jimmy,https://thyroideyedisease.org/physician-directory-member-list/jimmyuddin/,False
95,95,Qian Jiang,https://thyroideyedisease.org/physician-directory-member-list/jiangqianshanghai/,False
96,96,Jesse,https://thyroideyedisease.org/physician-directory-member-list/jesse/,False
97,97,Jerald Greenlee,https://thyroideyedisease.org/physician-directory-member-list/jerald03eriusx/,False
